word,meaning,aliases,level,pos
abandon,버리다,포기하다,B2,verb
ability,능력,,B2,noun
abroad,해외에,외국에,B2,adverb
absolute,절대적인,완전한,B2,adjective
academic,학업의,학문의,B2,adjective
acceptance,수용,승인,B2,noun
access,접근,이용권,B2,noun
accommodation,숙소,숙박시설,B2,noun
accompany,동행하다,함께 가다,B2,verb
accomplish,성취하다,이루다,B2,verb
account,계정,설명,B2,noun
accurate,정확한,,B2,adjective
accuse,비난하다,고발하다,B2,verb
acknowledge,인정하다,받아들이다,B2,verb
acquire,얻다,습득하다,B2,verb
actual,실제의,현실의,B2,adjective
adapt,적응하다,맞추다,B2,verb
addiction,중독,,B2,noun
addition,추가,덧셈,B2,noun
additional,추가의,부가적인,B2,adjective
adequate,적절한,충분한,B2,adjective
administration,행정,관리,B2,noun
admire,감탄하다,존경하다,B2,verb
admit,인정하다,입학을 허가하다,B2,verb
adopt,채택하다,입양하다,B2,verb
advanced,고급의,진보된,B2,adjective
affair,일,사건,B2,noun
affect,영향을 주다,작용하다,B2,verb
afford,여유가 있다,감당하다,B2,verb
agency,기관,대행사,B2,noun
agenda,의제,일정표,B2,noun
aggressive,공격적인,,B2,adjective
aid,도움,원조,B2,noun
alarm,경보,놀람,B2,noun
alter,바꾸다,변경하다,B2,verb
alternative,대안,대체 가능한,B2,noun
amaze,놀라게 하다,경탄하게 하다,B2,verb
ambition,야망,포부,B2,noun
analyse,분석하다,해석하다,B2,verb
analysis,분석,,B2,noun
announce,발표하다,알리다,B2,verb
annually,매년,연간,B2,adverb
anticipate,예상하다,기대하다,B2,verb
anxiety,불안,,B2,noun
anxious,불안한,걱정하는,B2,adjective
apparent,분명한,명백한,B2,adjective
appeal,호소하다,매력,B2,noun
approach,접근하다,다가가다,B2,verb
appropriate,적절한,,B2,adjective
approval,승인,찬성,B2,noun
approve,승인하다,찬성하다,B2,verb
approximately,대략,약,B2,adverb
arise,발생하다,생기다,B2,verb
armed,무장한,,B2,adjective
artificial,인공의,,B2,adjective
artwork,예술 작품,,B2,noun
aspect,측면,양상,B2,noun
assess,평가하다,사정하다,B2,verb
assessment,평가,,B2,noun
assign,할당하다,배정하다,B2,verb
assistance,도움,지원,B2,noun
associate,연관 짓다,동료,B2,verb
association,연관,협회,B2,noun
assume,가정하다,추정하다,B2,verb
attempt,시도,시도하다,B2,noun
attitude,태도,자세,B2,noun
authority,권위,당국,B2,noun
automatic,자동의,,B2,adjective
automatically,자동으로,,B2,adverb
available,이용 가능한,구할 수 있는,B2,adjective
awareness,인식,자각,B2,noun
awkward,어색한,곤란한,B2,adjective
balance,균형,잔액,B2,noun
barrier,장벽,방해물,B2,noun
basically,기본적으로,,B2,adverb
basis,기초,기반,B2,noun
battle,전투,싸움,B2,noun
bearing,관계,태도,B2,noun
beat,이기다,두드리다,B2,verb
beg,간청하다,구걸하다,B2,verb
being,존재,생명체,B2,noun
bias,편견,편향,B2,noun
bill,청구서,법안,B2,noun
birth,출생,탄생,B2,noun
bitter,쓴,분한,B2,adjective
blame,비난하다,책임을 지우다,B2,verb
bond,유대,채권,B2,noun
border,국경,경계,B2,noun
breast,가슴,유방,B2,noun
briefly,간단히,잠깐,B2,adverb
broadly,대체로,넓게,B2,adverb
budget,예산,,B2,noun
bullet,총알,,B2,noun
burden,부담,짐,B2,noun
cabinet,캐비닛,내각,B2,noun
calculate,계산하다,,B2,verb
capable,할 수 있는,유능한,B2,adjective
capacity,용량,능력,B2,noun
capture,붙잡다,포착하다,B2,verb
carefully,주의 깊게,,B2,adverb
category,범주,부문,B2,noun
caution,주의,조심,B2,noun
cease,중단하다,그만두다,B2,verb
challenge,도전,도전하다,B2,noun
channel,채널,통로,B2,noun
chapter,장,챕터,B2,noun
circumstance,상황,환경,B2,noun
citizen,시민,,B2,noun
civil,시민의,민간의,B2,adjective
classic,고전의,전형적인,B2,adjective
clue,단서,,B2,noun
collapse,붕괴,무너지다,B2,noun
combination,조합,결합,B2,noun
combine,결합하다,합치다,B2,verb
commentary,논평,해설,B2,noun
commerce,상업,,B2,noun
commit,저지르다,헌신하다,B2,verb
commitment,헌신,약속,B2,noun
committee,위원회,,B2,noun
complex,복잡한,복합체,B2,adjective
complicated,복잡한,,B2,adjective
component,구성 요소,부품,B2,noun
concentrate,집중하다,,B2,verb
