word,meaning,aliases,level,pos
believe,믿다,,A2,verb
borrow,빌리다,대여하다,A2,verb
build,짓다,건설하다,A2,verb
choose,선택하다,고르다,A2,verb
decide,결정하다,정하다,A2,verb
drive,운전하다,,A2,verb
follow,따르다,,A2,verb
forget,잊다,,A2,verb
hope,희망하다,바라다,A2,verb
join,가입하다,참여하다,A2,verb
keep,유지하다,계속하다,A2,verb
lose,잃다,,A2,verb
miss,놓치다,그리워하다,A2,verb
pay,지불하다,내다|결제하다,A2,verb
practice,연습하다,,A2,verb
ride,타다,,A2,verb
sell,팔다,,A2,verb
spend,쓰다,소비하다,A2,verb
teach,가르치다,교육하다,A2,verb
travel,여행하다,,A2,verb
wake,깨다,잠에서깨다,A2,verb
win,이기다,,A2,verb
agree,동의하다,,A2,verb
allow,허락하다,허용하다,A2,verb
apply,신청하다,지원하다,A2,verb
arrange,정리하다,배열하다|준비하다,A2,verb
compare,비교하다,견주다,A2,verb
complete,완료하다,끝내다,A2,verb
continue,계속하다,지속하다,A2,verb
describe,설명하다,묘사하다,A2,verb
develop,발전시키다,개발하다,A2,verb
enter,들어가다,입장하다,A2,verb
explain,설명하다,,A2,verb
happen,일어나다,발생하다,A2,verb
improve,향상시키다,개선하다,A2,verb
invite,초대하다,,A2,verb
move,이사하다,옮기다,A2,verb
prepare,준비하다,,A2,verb
save,저장하다,아끼다,A2,verb
share,공유하다,나누다,A2,verb
shopping,쇼핑,장보기,A2,noun
shopping,쇼핑하다,구매하다,A2,verb
show,공연,쇼,A2,noun
ask,부탁하다,요청하다,A2,verb
call,전화하다,부르다,A2,verb
careful,조심하는,주의하는,A2,adjective
difficult,어려운,힘든,A2,adjective
free,한가한,자유로운,A2,adjective
handsome,잘생긴,,A2,adjective
strong,강한,,A2,adjective
weak,약한,,A2,adjective
warm,따뜻한,,A2,adjective
cool,시원한,,A2,adjective
important,중요한,핵심적인,A2,adjective
ready,준비된,,A2,adjective
quiet,조용한,,A2,adjective
loud,시끄러운,,A2,adjective
expensive,비싼,,A2,adjective
different,다른,,A2,adjective
delicious,맛있는,,A2,adjective
hungry,배고픈,,A2,adjective
thirsty,목마른,,A2,adjective
sick,아픈,,A2,adjective
afraid,두려워하는,무서워하는,A2,adjective
tired,피곤한,,A2,adjective
famous,유명한,,A2,adjective
large,큰,거대한,A2,adjective
cheap,값싼,저렴한,A2,adjective
beautiful,예쁜,아름다운,A2,adjective
wonderful,멋진,훌륭한,A2,adjective
useful,유용한,,A2,adjective
healthy,건강한,,A2,adjective
unhealthy,건강하지 않은,,A2,adjective
friendly,친근한,다정한,A2,adjective
exciting,신나는,흥미진진한,A2,adjective
interesting,흥미로운,재미있는,A2,adjective
boring,지루한,,A2,adjective
busy,혼잡한,바쁜,A2,adjective
careless,부주의한,조심성 없는,A2,adjective
comfortable,편안한,,A2,adjective
dangerous,위험한,,A2,adjective
empty,비어 있는,,A2,adjective
full,가득 찬,,A2,adjective
helpful,도움이 되는,유익한,A2,adjective
polite,공손한,예의 바른,A2,adjective
popular,인기 있는,,A2,adjective
special,특별한,,A2,adjective
terrible,끔찍한,아주 나쁜,A2,adjective
advice,조언,충고,A2,noun
apartment,아파트,아파트 방,A2,noun
article,기사,글,A2,noun
backpack,배낭,,A2,noun
bakery,빵집,,A2,noun
bank,은행,,A2,noun
beach,해변,바닷가,A2,noun
bicycle,자전거,,A2,noun
boss,상사,,A2,noun
building,건물,,A2,noun
business,사업,업무,A2,noun
camping,캠핑,,A2,noun
capital,수도,자본,A2,noun
center,중심,,A2,noun
chef,요리사,,A2,noun
club,동아리,클럽,A2,noun
company,회사,,A2,noun
concert,콘서트,공연,A2,noun
conversation,대화,,A2,noun
culture,문화,,A2,noun
customer,고객,손님,A2,noun
date,날짜,데이트,A2,noun
dictionary,사전,,A2,noun
dream,꿈,,A2,noun
email,이메일,,A2,noun
engineer,엔지니어,기술자,A2,noun
exam,시험,,A2,noun
example,예시,보기,A2,noun
exercise,운동,연습,A2,noun
farm,농장,,A2,noun
festival,축제,,A2,noun
film,영화,,A2,noun
floor,바닥,층,A2,noun
future,미래,,A2,noun
group,그룹,무리,A2,noun
gym,체육관,,A2,noun
health,건강,,A2,noun
history,역사,,A2,noun
holiday,휴일,방학,A2,noun
homework,숙제,,A2,noun
hospital,병원,,A2,noun
hotel,호텔,,A2,noun
idea,생각,아이디어,A2,noun
information,정보,,A2,noun
internet,인터넷,,A2,noun
island,섬,,A2,noun
language,언어,,A2,noun
lesson,수업,교훈,A2,noun
letter,편지,,A2,noun
library,도서관,,A2,noun
luck,운,,A2,noun
market,시장,,A2,noun
meeting,회의,만남,A2,noun
message,메시지,,A2,noun
minute,분,,A2,noun
museum,박물관,,A2,noun
news,뉴스,소식,A2,noun
newspaper,신문,,A2,noun
office,사무실,,A2,noun
party,파티,,A2,noun
passport,여권,,A2,noun
plan,계획,,A2,noun
problem,문제,,A2,noun
program,프로그램,,A2,noun
project,프로젝트,계획,A2,noun
radio,라디오,,A2,noun
reason,이유,,A2,noun
river,강,,A2,noun
road,도로,길,A2,noun
science,과학,,A2,noun
shopping,쇼핑,장보기,A2,noun
station,역,,A2,noun
story,이야기,,A2,noun
team,팀,,A2,noun
